"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14750","@web client app login","","2026-05-08","passed","2026-05-08","","clientapp.spec.js","",""
"","11802","@web Spetial locator tesr case","","2026-05-08","passed","2026-05-08","","clientappSpl.spec.js","",""
